2026-07-20 13:23:02 | INFO     | models.modele_ml | GradientBoostingClassifier entraîné : 150 arbres, 30 features
2026-07-20 13:23:02 | INFO     | models.rapport_evaluation | Évaluation : accuracy=0.923 precision=0.852 recall=0.923 f1=0.886
2026-07-20 13:29:41 | INFO     | models.modele_ml | GradientBoostingClassifier entraîné : 150 arbres, 30 features
2026-07-20 13:29:41 | INFO     | models.rapport_evaluation | Évaluation : accuracy=0.923 precision=0.852 recall=0.923 f1=0.886
2026-07-20 13:29:43 | INFO     | models.modele_ml | GradientBoostingClassifier entraîné : 150 arbres, 30 features
2026-07-20 13:29:44 | INFO     | models.modele_ml | GradientBoostingClassifier entraîné : 150 arbres, 30 features
2026-07-20 13:29:44 | INFO     | models.modele_ml | GradientBoostingClassifier entraîné : 150 arbres, 30 features
2026-07-20 13:29:44 | INFO     | models.modele_ml | GradientBoostingClassifier entraîné : 150 arbres, 30 features
2026-07-20 13:29:45 | INFO     | models.rapport_evaluation | Évaluation : accuracy=0.923 precision=0.852 recall=0.923 f1=0.886
2026-07-20 15:35:32 | INFO     | models.fichier_excel | Fichier chargé : Thor - Corrective maintenance follow-up.xlsx (227 lignes, 12 colonnes)
2026-07-20 15:35:32 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
2026-07-20 15:35:37 | INFO     | models.analyse_eda | EDA : 2 colonnes numériques analysées
2026-07-20 15:49:59 | INFO     | models.fichier_excel | Fichier chargé : Thor - Corrective maintenance follow-up.xlsx (227 lignes, 12 colonnes)
2026-07-20 15:49:59 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
2026-07-20 15:50:04 | INFO     | models.analyse_eda | EDA : 2 colonnes numériques analysées
2026-07-20 16:00:19 | INFO     | models.analyse_eda | EDA : 2 colonnes numériques analysées
2026-07-20 16:00:30 | INFO     | models.fichier_excel | Fichier chargé : Thor - Corrective maintenance follow-up.xlsx (227 lignes, 12 colonnes)
2026-07-20 16:00:30 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
2026-07-20 22:02:17 | INFO     | models.fichier_excel | Fichier chargé : Thor - Corrective maintenance follow-up.xlsx (227 lignes, 12 colonnes)
2026-07-20 22:02:17 | INFO     | models.fichier_excel | JeuDonnees créé : 227 lignes, 12 colonnes
